Participant,AOIName,AOIOrder,NetDwellPerVisible,DwellPerVisible,GlancePerVisible,DiversionPerVisible,GlancesPerAppearences,AvgFixDur
101,adaptor,1,2.4,1.0,1.0,1.0,4.0000000000,244.1
102,adaptor,1,1.7,0.0,0.1,0.1,0.0000000000,0.0
103,adaptor,1,3.4,3.7,3.8,3.9,8.0000000000,658.9
104,adaptor,1,12.5,12.6,14.4,15.2,40.0000000000,318.3
105,adaptor,1,3.2,2.1,2.2,2.4,8.0000000000,364.8
108,adaptor,1,10.1,21.2,22.0,22.6,36.0000000000,1024.0
110,adaptor,1,2.6,2.1,2.4,2.4,12.0000000000,275.1
111,adaptor,1,2.0,2.6,2.8,2.9,8.0000000000,345.1
112,adaptor,1,2.4,1.2,1.3,1.4,4.0000000000,295.1
113,adaptor,1,3.5,4.0,4.2,4.4,12.0000000000,424.2
114,adaptor,1,7.7,8.2,9.5,10.4,40.0000000000,359.6
115,adaptor,1,8.5,7.7,8.4,9.3,40.0000000000,307.7
116,adaptor,1,6.4,5.9,6.5,6.7,28.0000000000,392.2
117,adaptor,1,1.3,1.5,1.6,1.6,4.0000000000,818.3
118,adaptor,1,6.6,2.6,3.1,3.4,16.0000000000,343.1
119,adaptor,1,1.5,0.0,0.2,0.2,0.0000000000,0.0
120,adaptor,1,10.1,21.1,21.9,22.3,32.0000000000,792.0
121,adaptor,1,1.5,0.3,0.7,0.7,4.0000000000,176.1
122,adaptor,1,2.3,0.0,0.0,0.0,0.0000000000,0.0
123,adaptor,1,1.5,2.4,2.5,2.5,4.0000000000,415.5
124,adaptor,1,6.2,5.5,5.9,6.2,24.0000000000,417.6
125,adaptor,1,9.4,10.0,10.8,12.0,40.0000000000,432.7
126,adaptor,1,25.2,25.6,27.6,29.3,84.0000000000,337.3
128,adaptor,1,9.0,11.1,12.3,13.1,48.0000000000,364.0
129,adaptor,1,6.0,6.9,7.7,7.8,20.0000000000,431.7
130,adaptor,1,2.3,2.8,3.2,3.4,16.0000000000,368.6
131,adaptor,1,12.1,10.2,10.7,11.2,24.0000000000,483.8
101,face,3,88.7,82.2,82.7,83.0,2400.0000000000,489.9
102,face,3,96.6,94.2,94.3,94.3,300.0000000000,647.3
103,face,3,96.6,95.4,95.5,95.6,1200.0000000000,775.0
104,face,3,73.2,70.0,70.8,71.9,9000.0000000000,367.2
105,face,3,82.6,74.8,74.8,74.9,1000.0000000000,388.0
108,face,3,87.2,84.5,84.9,85.4,3600.0000000000,524.9
110,face,3,93.0,90.1,90.2,90.5,1500.0000000000,535.4
111,face,3,96.0,94.2,94.3,94.5,1800.0000000000,470.6
112,face,3,58.8,42.3,45.8,46.4,12900.0000000000,345.2
113,face,3,90.3,87.8,87.9,87.9,1500.0000000000,572.2
114,face,3,79.4,72.9,73.5,74.5,6100.0000000000,448.4
115,face,3,87.3,84.7,85.2,85.6,5000.0000000000,632.5
116,face,3,83.1,76.4,76.6,77.1,3700.0000000000,401.6
117,face,3,94.6,93.9,94.0,94.2,1200.0000000000,1176.8
118,face,3,66.1,63.9,64.6,65.8,8400.0000000000,799.2
119,face,3,75.8,58.2,64.2,64.7,7100.0000000000,311.2
120,face,3,65.6,63.8,64.3,64.9,9300.0000000000,541.2
121,face,3,77.9,71.2,72.0,73.0,12300.0000000000,431.5
122,face,3,92.8,89.2,89.4,89.5,1200.0000000000,603.6
123,face,3,96.5,95.0,95.0,95.0,500.0000000000,496.6
124,face,3,25.8,23.7,24.4,24.9,12000.0000000000,442.2
125,face,3,70.3,63.2,65.2,66.6,10000.0000000000,386.0
126,face,3,71.5,68.6,69.4,70.3,7900.0000000000,455.3
128,face,3,82.7,78.4,78.8,79.2,3900.0000000000,492.4
129,face,3,88.9,85.8,85.9,86.1,1400.0000000000,740.4
130,face,3,92.1,89.8,90.1,90.4,3800.0000000000,460.4
131,face,3,72.9,71.1,71.4,71.8,7300.0000000000,1003.4
101,illustrator,2,1.0,0.0,0.0,0.0,0.0000000000,0.0
102,illustrator,2,0.1,0.0,0.0,0.0,0.0000000000,0.0
103,illustrator,2,0.4,0.0,0.0,0.0,0.0000000000,0.0
104,illustrator,2,5.3,4.6,5.3,5.8,27.5862068966,286.3
105,illustrator,2,1.2,0.1,0.2,0.2,3.4482758621,87.0
108,illustrator,2,4.4,3.1,3.5,3.7,12.0689655172,357.8
110,illustrator,2,1.3,0.7,1.1,1.4,6.8965517241,244.1
111,illustrator,2,1.4,1.3,1.6,1.8,10.3448275862,204.3
112,illustrator,2,2.3,1.3,1.6,1.7,5.1724137931,216.4
113,illustrator,2,0.4,0.0,0.0,0.0,0.0000000000,0.0
114,illustrator,2,4.3,2.9,3.2,3.6,17.2413793103,221.7
115,illustrator,2,3.5,2.7,3.0,3.4,17.2413793103,263.8
116,illustrator,2,3.5,1.4,1.7,1.9,13.7931034483,169.3
117,illustrator,2,0.7,0.4,0.6,0.7,3.4482758621,178.1
118,illustrator,2,4.7,1.7,2.0,2.2,10.3448275862,376.8
119,illustrator,2,1.4,0.0,0.0,0.0,0.0000000000,0.0
120,illustrator,2,2.9,1.2,1.4,1.5,10.3448275862,217.8
121,illustrator,2,0.8,0.4,0.5,0.6,3.4482758621,258.1
122,illustrator,2,0.5,0.0,0.0,0.0,0.0000000000,0.0
123,illustrator,2,0.3,0.0,0.0,0.0,0.0000000000,0.0
124,illustrator,2,3.0,2.3,2.4,2.7,12.0689655172,319.7
125,illustrator,2,7.5,5.7,6.6,7.4,31.0344827586,286.5
126,illustrator,2,10.2,8.6,9.8,10.6,41.3793103448,291.3
128,illustrator,2,2.4,1.1,1.3,1.4,5.1724137931,363.1
129,illustrator,2,0.8,0.2,0.3,0.3,1.7241379310,264.1
130,illustrator,2,0.2,0.0,0.0,0.0,0.0000000000,0.0
131,illustrator,2,2.4,3.3,3.6,3.8,8.6206896552,609.4
